lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,Stories,hasGarage,hasAssociation,HasSecurityFeatures
4399.0,2347.0,2.9666666666666663,3.6666666666666665,1532,12,2.5,4,2,1,1,0
14810.4,2170.0,1.2,8.666666666666666,1632,16,2.0,4,1,1,1,0
6969.0,1592.0,1.7666666666666666,3.0,1457,13,3.0,3,2,0,1,1
12632.4,3837.0,3.266666666666667,7.666666666666668,1259,14,5.0,5,2,0,1,0
58806.00000000001,3450.0,1.9,7.0,1277,16,4.0,4,1,0,1,0
16552.8,1239.0,1.7666666666666666,5.333333333333333,1369,12,2.0,3,1,1,0,0
5488.0,1449.0,2.9,3.6666666666666665,1532,12,2.0,3,1,0,1,0
5227.0,1335.0,1.7333333333333334,3.0,1457,13,2.0,3,1,0,1,0
4800.0,1514.0,3.1333333333333333,3.0,1457,13,2.0,3,1,1,1,1
15681.6,3111.0,3.266666666666667,7.666666666666668,1259,14,3.0,4,1,0,1,0
8973.0,3113.0,1.2,8.0,1275,15,3.0,4,2,1,1,0
5662.0,1973.0,2.9,3.6666666666666665,1532,12,3.0,3,2,0,1,0
3963.0,1487.0,3.4,7.0,1177,16,2.0,2,1,0,1,0
5749.0,1370.0,1.8333333333333333,3.0,1457,13,2.0,3,1,0,1,0
7666.0,3055.0,2.1,7.0,1277,16,4.0,4,2,1,1,1
6368.0,2283.0,0.6000000000000001,7.0,1381,16,3.0,4,2,0,1,0
9539.0,3115.0,1.5333333333333332,8.0,1275,15,3.0,4,2,0,1,0
5558.0,1419.0,1.6666666666666667,3.0,1457,13,2.0,3,1,1,1,0
6969.0,2682.0,2.9,3.6666666666666665,1532,12,5.0,7,2,1,1,0
4573.0,1936.0,3.2000000000000006,3.0,1457,13,3.0,4,2,1,1,1
10105.0,3794.0,2.1333333333333333,7.0,1277,16,4.0,4,2,1,1,0
10367.0,2967.0,2.9333333333333336,7.0,1523,17,3.0,4,2,0,1,0
7501.0,3787.0,3.2999999999999994,7.666666666666668,1259,14,4.0,5,2,0,1,0
7623.0,2314.0,1.3333333333333333,2.6666666666666665,1063,14,3.0,5,1,1,1,0
11325.6,2753.0,0.8333333333333334,8.666666666666666,1632,16,3.0,5,1,0,1,1
6185.0,2068.0,2.9,3.6666666666666665,1532,12,3.0,4,2,0,1,0
5140.0,1791.0,1.6333333333333335,8.333333333333334,1481,16,3.0,3,2,1,1,1
11325.6,3338.0,2.1333333333333333,7.0,1277,16,4.0,4,2,0,1,0
6368.0,2283.0,0.6,7.0,1381,16,3.0,4,2,1,1,0
27442.8,2997.0,0.8333333333333334,8.666666666666666,1632,16,3.0,4,1,0,1,1
7274.0,1225.0,2.0333333333333337,3.0,1457,13,2.0,3,1,0,1,0
9670.0,2864.0,2.066666666666667,7.0,1277,16,3.0,5,1,1,1,1
3920.0,1573.0,3.4333333333333336,7.0,1177,16,2.0,3,1,0,1,1
10454.0,2656.0,1.2,9.0,1616,16,3.0,4,2,1,1,1
5140.0,1975.0,2.0,8.333333333333334,1481,16,3.0,4,2,1,1,1
9452.0,1745.0,2.4666666666666663,3.6666666666666665,480,14,2.0,4,1,0,0,0
8276.0,1375.0,1.3333333333333333,2.6666666666666665,1063,14,2.0,3,1,0,1,0
6969.0,2502.0,3.1,3.6666666666666665,1532,12,3.0,4,1,0,1,0
16988.4,2313.0,1.1,8.666666666666666,1632,16,2.0,4,1,1,1,0
15245.999999999998,2700.0,2.5,7.0,1523,17,3.0,4,2,1,1,1
5706.0,1480.0,1.8333333333333333,3.0,1457,13,2.0,3,1,1,1,0
6194.0,1321.0,2.2333333333333334,3.0,1457,13,3.0,3,2,0,1,1
7230.0,2267.0,1.2,8.0,1275,15,2.0,4,1,0,1,0
