,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,price,zip,Stories,BuiltAfter2k,HasPatioPorch,zpid
56,64468.8,2736.0,4.833333333333333,3.333333333333333,1557,14,2.0,4,250000.0,78719,1,0,1,64729016
57,5749.0,1807.0,1.8666666666666665,3.0,1457,13,2.0,4,198500.0,78725,1,1,1,70355962
58,8624.0,2956.0,1.2333333333333334,8.0,1275,15,3.0,5,485000.0,78726,1,0,1,29376490
59,24829.2,8800.0,4.166666666666667,7.0,1277,16,8.0,5,5495000.0,78732,3,0,0,29366907
60,5536.0,2595.0,2.1,8.333333333333334,1481,16,3.0,5,440000.0,78717,2,1,1,250825472
61,9626.0,1420.0,3.3000000000000003,3.0,1457,13,2.0,3,225000.0,78725,1,1,0,89550834
62,5314.0,1929.0,1.633333333333333,3.0,1457,13,2.0,3,207900.0,78725,1,1,0,64674953
63,4399.0,2347.0,2.9666666666666663,3.6666666666666665,1532,12,2.5,4,300000.0,78744,2,1,0,124719949
64,14810.4,2170.0,1.2,8.666666666666666,1632,16,2.0,4,575000.0,78750,1,0,1,29374483
65,6969.0,1592.0,1.7666666666666666,3.0,1457,13,3.0,3,200000.0,78725,2,0,0,29461422
66,12632.4,3837.0,3.266666666666667,7.666666666666668,1259,14,5.0,5,675000.0,78717,2,1,1,116080970
67,58806.00000000001,3450.0,1.9,7.0,1277,16,4.0,4,975000.0,78726,1,1,0,70333905
68,16552.8,1239.0,1.7666666666666666,5.333333333333333,1369,12,2.0,3,259000.0,78729,1,0,0,29557482
69,5488.0,1449.0,2.9,3.6666666666666665,1532,12,2.0,3,275000.0,78744,1,1,0,241932948
70,5227.0,1335.0,1.7333333333333334,3.0,1457,13,2.0,3,199999.0,78725,1,0,1,29461406
71,4800.0,1514.0,3.1333333333333333,3.0,1457,13,2.0,3,268729.0,78725,1,1,0,2081704483
72,15681.6,3111.0,3.266666666666667,7.666666666666668,1259,14,3.0,4,625000.0,78717,1,1,1,116080962
73,8973.0,3113.0,1.2,8.0,1275,15,3.0,4,435000.0,78726,2,0,1,29376480
74,5662.0,1973.0,2.9,3.6666666666666665,1532,12,3.0,3,285000.0,78744,2,1,0,241932946
75,3963.0,1487.0,3.4,7.0,1177,16,2.0,2,399900.0,78731,1,0,0,29351492
76,5749.0,1370.0,1.8333333333333333,3.0,1457,13,2.0,3,215000.0,78725,1,1,0,241932900
77,7666.0,3055.0,2.1,7.0,1277,16,4.0,4,519500.0,78726,2,1,1,29370900
78,6368.0,2283.0,0.6000000000000001,7.0,1381,16,3.0,4,450000.0,78750,2,1,0,110538990
79,9539.0,3115.0,1.5333333333333332,8.0,1275,15,3.0,4,463700.0,78726,2,0,0,29372980
80,5558.0,1419.0,1.6666666666666667,3.0,1457,13,2.0,3,209900.0,78725,1,0,0,29459947
